lot_id,lot_name,facility_type,permit_classes,student_access,faculty_staff_access,visitor_access,known_capacity,capacity_status,capacity_source,location_description,event_restrictions,overnight_parking,hourly_or_parkmobile,enforcement,latitude,longitude,gis_geometry_available,gis_layer_url,baseline_occupancy_pct,predicted_occupancy_pct,estimated_open_spaces,prediction_confidence,last_observed_at,weather_condition,temperature_f,precipitation,is_class_day,is_exam_week,is_home_football_game,is_home_basketball_game,special_event,notes
VT-PERRY-GARAGE,Perry Street Parking Garage,garage,Perry Street permit; authorized faculty/staff/visitors by level,"Yes, with Perry Street authorization","Yes, authorized levels","Yes, authorized levels",1350,official_published,https://parking.vt.edu/parking/parking-locations.html,"Prices Fork parking area near Bishop-Favrao Hall; access from Perry St, West Campus Dr, and Prices Fork Rd",Possible special-event restrictions; obey posted notices,No,Not standard ParkMobile lot; separate garage authorization,Permit/payment rules apply; posted restrictions control,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Capacity is official; live occupancy is not publicly published.
VT-NEC-GARAGE,North End Center Parking Garage,garage,F/S; NEG; validated visitors; daily payment,Limited / daily visitor rules,Yes,Yes,800,official_published,https://parking.vt.edu/parking/parking-locations.html,"300 Turner Street NW, Blacksburg, VA 24061",Possible special-event restrictions; obey posted notices,No,Daily charge / garage payment; ParkMobile not standard garage authorization,Permit/payment rules apply; posted restrictions control,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Capacity is official; live occupancy is not publicly published.
VT-DUCK-POND,Duck Pond Road Lot,surface lot,R; C/G sections,Yes,Yes where permit privileges allow,Only where specifically authorized/paid,,not_publicly_verified,https://parking.vt.edu/permits.html,Duck Pond Road; commuter/graduate section nearest Virginia-Maryland College of Veterinary Medicine,May be affected by special events,Depends on signed area/permit,Only in specifically signed areas,Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Includes resident and commuter/graduate-designated sections.
VT-STADIUM,Stadium Lot,surface lot,R and event-designated areas,"Yes, resident permit in designated areas",As posted,As posted/event rules,,not_publicly_verified,https://parking.vt.edu/permits.html,Stadium area,Frequently affected by football/basketball/special events,Depends on posted rules,Only where specifically signed,Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Strong event-day feature for prediction model.
VT-CHICKEN-HILL,Chicken Hill Lot,surface lot,R; Faculty/Staff Remote section,"Yes, resident-designated areas","Yes, remote-designated area",As posted,,not_publicly_verified,https://parking.vt.edu/permits.html,Chicken Hill area,Frequently affected by football/basketball/special events,Depends on signed area/permit,Only where specifically signed,Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Contains Faculty/Staff Remote parking area.
VT-LITTON-REAVES,Litton-Reaves Lot,surface lot,C/G; other areas as posted,"Yes, C/G section",Yes where permit privileges allow,As posted,,not_publicly_verified,https://parking.vt.edu/permits.html,Near Litton-Reaves Hall,Possible special-event restrictions,Depends on posted rules,Only where specifically signed,Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Current VT permit page explicitly lists a C/G section.
VT-TRACK,Track Lot,surface lot,C/G; permit privileges as posted,Yes,Yes where permit privileges allow,As posted,,not_publicly_verified,https://parking.vt.edu/permits.html,Track / Field House area,Possible athletic-event restrictions,Depends on posted rules,Only where specifically signed,Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Listed by VT for commuter/graduate parking.
VT-DRONE-PARK,Drone Park Lot,surface lot,C/G; permit privileges as posted,Yes,Yes where permit privileges allow,As posted,,not_publicly_verified,https://parking.vt.edu/permits.html,Beyond the golf course at the end of the Duck Pond,Possible special-event restrictions,Depends on posted rules,Only where specifically signed,Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Remote-ish lot; useful alternative recommendation candidate.
VT-SMITHFIELD,Smithfield Road Lot,surface lot,C/G; permit privileges as posted,Yes,Yes where permit privileges allow,As posted,,not_publicly_verified,https://parking.vt.edu/permits.html,Smithfield Road area,Possible special-event restrictions,Depends on posted rules,Only where specifically signed,Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Listed by VT for commuter/graduate parking.
VT-COLISEUM,Coliseum Lot,surface lot,C/G sections; hourly/metered spaces; other areas as posted,Yes in authorized sections,Yes where permit privileges allow,Yes in hourly/metered or authorized areas,,not_publicly_verified,https://parking.vt.edu/parking/parking-locations.html,Cassell Coliseum area,Frequently affected by athletics/special events,Depends on posted rules,"Yes, hourly parking is documented in this lot",Mon-Fri 7:00-22:00 unless 24-hour posted,,,Yes,https://services3.arcgis.com/eKbgg5Yj4kqyKR88/ArcGIS/rest/services/Parking_Lots_%28Public%29/FeatureServer/1,,,,,,,,,,,,,,Use basketball/other event schedule as a major predictive feature.
